name,origin-1,origin-2,origin-3,SAN-1,SAN-2,SAN-3,CCMOP-1,CCMOP-2,CCMOP-3,Avg-O,Avg-S,Avg-C
qsort,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06
adpcm,0.34,0.31,0.32,0.42,0.47,0.43,0.91,0.91,0.92,0.323333333,0.44,0.913333333
blowfish,0.11,0.12,0.13,0.16,0.19,0.18,1.26,1.25,1.24,0.12,0.176666667,1.25
libpng-1.2.56,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.04,0.04
susan,0.25,0.33,0.31,1.52,1.52,1.68,1.35,1.22,1.24,0.296666667,1.573333333,1.27
CRC32,0.11,0.11,0.1,0.09,0.09,0.11,0.78,0.73,0.78,0.106666667,0.096666667,0.763333333
libxml2,0.48,0.49,0.51,3.03,3.08,3.07,12.51,13.98,12.78,0.493333333,3.06,13.09
libsrtp,14.79,14.77,13.61,15.32,16.44,16.55,20.78,20.85,20.7,14.39,16.10333333,20.77666667
json-c,22.54,20.11,23.24,39.27,33.8,33.06,30.5,30.98,30.37,21.96333333,35.37666667,30.61666667
cJSON,0.06,0.06,0.06,0.13,0.16,0.14,0.07,0.07,0.07,0.06,0.143333333,0.07
glfw,0.07,0.06,0.05,0.11,0.05,0.05,0.1,0.09,0.07,0.06,0.07,0.086666667
typeset,0.07,0.07,0.07,0.2,0.2,0.2,0.11,0.12,0.13,0.07,0.2,0.12
gsm,0.12,0.11,0.12,0.2,0.2,0.19,4.06,4.16,4.06,0.116666667,0.196666667,4.093333333
czmq,45.36,45.87,45.05,45.7,46.01,45.94,46.06,45.76,45.96,45.42666667,45.88333333,45.92666667
nanomsg,1.67,1.67,1.67,1.68,1.67,1.67,1.67,1.68,1.68,1.67,1.673333333,1.676666667
bitcount,0.06,0.07,0.07,0.07,0.07,0.07,0.47,0.41,0.44,0.066666667,0.07,0.44
brotli,0.52,0.52,0.53,0.77,0.8,0.79,6.83,6.92,6.21,0.523333333,0.786666667,6.653333333
sha,0.01,0.01,0.01,0.01,0.01,0.01,0.34,0.34,0.34,0.01,0.01,0.34
dijkstra,0.03,0.02,0.02,0.05,0.05,0.05,1.11,1.35,1.09,0.023333333,0.05,1.183333333
FFT,0.07,0.07,0.07,0.08,0.08,0.08,0.43,0.4,0.41,0.07,0.08,0.413333333
libtiff,1.01,1.02,1.06,1.01,1.07,1.09,1.11,1.11,1.13,1.03,1.056666667,1.116666667
basicmath,0.22,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.24,0.233333333,0.24,0.23
rsynth,0.13,0.13,0.13,0.15,0.15,0.15,3.32,3.17,3.37,0.13,0.15,3.286666667
zlib,0.02,0.02,0.02,0.03,0.03,0.03,0.1,0.1,0.1,0.02,0.03,0.1
zaver,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0.01
stringsearch,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0.006666667,0.01
mozjpeg,3.37,3.38,3.76,6.28,5.88,6.18,53.7,55.14,54.4,3.503333333,6.113333333,54.41333333
