name,origin-1,origin-2,origin-3,UAF-1,UAF-2,UAF-3,MF-1,MF-2,MF-3,RAC/SI-1,RAC/SI-2,RAC/SI-3,Avg-O,Avg-U,Avg-M,Avg-R/S
qsort,0.34,0.32,0.19,1.57,1.48,1.42,1.53,1.49,1.43,1.46,1.41,1.43,0.283333333,1.49,1.483333333,1.433333333
adpcm,0.26,0.32,0.3,1.49,1.57,1.62,1.57,1.63,1.64,1.57,1.63,1.51,0.293333333,1.56,1.613333333,1.57
blowfish,0.62,0.57,0.57,1.87,1.79,1.83,1.76,1.8,1.74,1.7,1.74,1.73,0.586666667,1.83,1.766666667,1.723333333
libpng,7.56,7.48,8.48,20.4,20.78,21.92,17.64,17.21,17.97,18.19,18.09,15.47,7.84,21.03333333,17.60666667,17.25
luna,0.82,0.78,0.77,2.02,2.03,2.02,2.08,2.02,2.28,2.32,2.23,2.35,0.79,2.023333333,2.126666667,2.3
susan,0.891,0.902,0.832,1.4,1.45,1.52,1.48,1.4,1.45,1.47,1.54,1.41,0.875,1.456666667,1.443333333,1.473333333
CRC32,0.14,0.16,0.12,1.31,1.37,1.36,1.26,1.26,1.25,1.37,1.33,1.33,0.14,1.346666667,1.256666667,1.343333333
libxml2,107.83,98.19,94.77,160.34,166.08,155.44,143.82,159.37,153.54,150.73,153.13,144.05,100.2633333,160.62,152.2433333,149.3033333
pwnat,0.43,0.4,0.4,1.62,1.59,1.54,1.59,1.6,1.59,1.57,1.56,1.58,0.41,1.583333333,1.593333333,1.57
libsrtp,9.45,9.1,9.2,28.55,28.44,28.26,27.25,27.32,27.2,27.49,27.28,27.23,9.25,28.41666667,27.25666667,27.33333333
json-c,12.91,12.63,12.55,43.64,43.74,43.73,42.72,42.68,42.45,42.31,42.46,42.42,12.69666667,43.70333333,42.61666667,42.39666667
cJSON,6.21,6.17,6.14,22.9,22.95,22.96,22.48,22.75,22.56,22.53,22.6,22.52,6.173333333,22.93666667,22.59666667,22.55
libpcap,9.81,9.88,9.69,46.34,46.15,46.2,44.27,43.29,43.67,43.25,43.64,43.25,9.793333333,46.23,43.74333333,43.38
glfw,54.92,54.23,54.25,98.34,98.47,98.98,97.59,97.7,98.04,96.84,97.51,98.3,54.46666667,98.59666667,97.77666667,97.55
mon,0.18,0.17,0.17,1.29,1.29,1.3,1.31,1.28,1.29,1.3,1.29,1.32,0.173333333,1.293333333,1.293333333,1.303333333
zstd,67.7,70.1,86.57,123.28,120.28,116.28,117.31,117.22,115.28,121.29,120.28,117.29,74.79,119.9466667,116.6033333,119.62
typeset,13.02,12.37,12,18.61,20.95,17.53,20.8,20.83,20.75,18.94,19.62,19.26,12.46333333,19.03,20.79333333,19.27333333
gsm,1.98,1.83,2,3.47,3.58,3.61,3.15,3.14,3.11,3.12,3.15,3.37,1.936666667,3.553333333,3.133333333,3.213333333
czmq,9.66,9.5,9.55,32.21,33.69,36.44,34.44,35.2,35.26,35.37,36.47,34.89,9.57,34.11333333,34.96666667,35.57666667
movec-msbench,8.02,8.29,8.25,48.49,43.77,45.49,42.81,48.04,46.83,45.12,47.39,45.87,8.186666667,45.91666667,45.89333333,46.12666667
stringsearch,0.59,0.57,0.71,1.96,2.1,2.24,1.99,2.24,2.1,2.16,2.12,2,0.623333333,2.1,2.11,2.093333333
nanomsg,15.63,16.33,18.12,72.17,79.87,92.76,83.94,71.94,73.84,88.19,84.05,79.74,16.69333333,81.6,76.57333333,83.99333333
bitcount,0.68,0.75,0.64,1.91,1.93,1.98,1.89,1.91,1.91,2.08,2.11,2.14,0.69,1.94,1.903333333,2.11
brotli,33.58,29.77,30.64,82.15,65.1,57.41,50.47,51.1,50.58,51.42,51.16,49.37,31.33,68.22,50.71666667,50.65
patricia,0.28,0.22,0.18,2.03,2.12,1.79,1.64,1.57,1.97,1.92,1.82,2.02,0.226666667,1.98,1.726666667,1.92
cpu_feature,1.93,2.03,2.91,8.97,9.71,9.9,12.61,10.89,12.44,10.63,10.65,9.88,2.29,9.526666667,11.98,10.38666667
sha,0.33,0.27,0.26,1.89,2.05,2.2,1.93,2.1,2.01,1.91,2.04,2,0.286666667,2.046666667,2.013333333,1.983333333
dijkstra,0.25,0.37,0.25,2.14,2.11,2.04,2.06,2.23,2,2.11,2.26,2.21,0.29,2.096666667,2.096666667,2.193333333
FFT,0.38,0.31,0.3,2.28,2.18,2.26,2.25,2.11,2.18,2.07,2.16,2.3,0.33,2.24,2.18,2.176666667
ogg,2.86,2.63,2.5,11.8,11.9,12.24,11.7,12.64,12.4,11.1,11.77,11.35,2.663333333,11.98,12.24666667,11.40666667
zaver,2.69,2.63,2.77,9.88,9.7,9.41,8.37,7.3,8.03,7.57,8.76,10.47,2.696666667,9.663333333,7.9,8.933333333
libavif,3.36,3.41,3.99,21.47,20.09,19.97,15.27,13.95,13.56,15.33,15.4,14.58,3.586666667,20.51,14.26,15.10333333
kilo,0.32,0.31,0.32,1.9,1.72,1.75,2,2.06,1.79,1.79,1.82,1.94,0.316666667,1.79,1.95,1.85
parson,0.93,0.96,0.97,3.19,2.75,3.05,2.99,3.23,3.08,3.23,3.05,3.09,0.953333333,2.996666667,3.1,3.123333333
matio,9.4,9.49,9.11,38.09,36.99,36.18,30.08,36.8,39.95,45.74,48.11,49.86,9.333333333,37.08666667,35.61,47.90333333
libtiff,20.21,18.83,21.03,134.44,110.97,100.78,92.12,73.18,77.3,105.89,69.53,76.4,20.02333333,115.3966667,80.86666667,83.94
gc,0.19,0.2,0.18,1.86,2.55,3.14,2.13,2.14,2.08,2.06,2.86,2.01,0.19,2.516666667,2.116666667,2.31
basicmath,0.59,0.62,0.65,2.17,1.92,2,2.05,1.92,1.85,1.88,1.73,1.73,0.62,2.03,1.94,1.78
raylib,43.54,49.87,45.66,129.19,124.55,118.16,111.89,121.6,120.53,113.74,111.39,119.16,46.35666667,123.9666667,118.0066667,114.7633333
cur,35.49,34.24,34.48,123.26,128.87,133.55,117.94,113.53,113.65,118.85,122.75,119.95,34.73666667,128.56,115.04,120.5166667
libuuid-1.0.3,7.59,8.21,7.81,26.13,24.53,23.61,24.4,21.77,23.05,24.98,25.96,22.62,7.87,24.75666667,23.07333333,24.52
kcp,1.25,1.35,1.33,3.9,3.58,4.07,3.88,3.49,3.41,3.3,5.29,4.53,1.31,3.85,3.593333333,4.373333333
rsynth,2.04,1.64,1.61,7.02,8.31,6.76,6.58,6.61,6.48,7.01,7.08,7.85,1.763333333,7.363333333,6.556666667,7.313333333
zlib,3.69,3.35,3.69,17.21,15.95,16.13,14.18,14.03,14.08,13.94,16.01,15.58,3.576666667,16.43,14.09666667,15.17666667
libgit2,105.34,105.01,94.43,310.42,318.93,301.8,300.69,289.03,337.28,325.93,312.16,311.21,101.5933333,310.3833333,309,316.4333333
tcpdump,42.47,41.87,44.36,161.61,139.35,115.85,98.46,90.09,90.4,97.7,90.25,92.32,42.9,138.9366667,92.98333333,93.42333333
libjpeg,82.93,83.25,83.24,205.7,205.83,201.66,170.05,170.46,170.79,169.98,169.76,170.32,83.14,204.3966667,170.4333333,170.02
mozjpeg,58.01,56.74,57.81,140.04,139.66,144.61,123.24,122.18,122.6,121.99,123.39,122.04,57.52,141.4366667,122.6733333,122.4733333
mbedtls,111.5,111.31,110.91,228.54,232.04,230.14,214.36,214.24,216.16,214.47,214.15,215.07,111.24,230.24,214.92,214.5633333
libarchive,74.24,74.28,74.11,365.76,353.51,365.61,402.46,368.51,378.85,343.49,365.18,355.23,74.21,361.6266667,383.2733333,354.6333333
libxlst,8.69,8.19,8.3,31.79,32.14,29.57,28.15,27.6,27.82,27.95,27.43,27.45,8.393333333,31.16666667,27.85666667,27.61
double-conversion,22.84,22.21,20.75,29.81,30.37,30.84,36.68,44.46,33.37,34.22,36.04,35.94,21.93333333,30.34,38.17,35.4
tinyserver,0.36,0.44,0.5,4.97,4.53,4.2,4.05,4.38,4.3,3.94,4.02,3.98,0.433333333,4.566666667,4.243333333,3.98
tgbot-cpp,24.11,25.47,25.95,37.48,33.95,37.62,35.66,37.93,40.07,34.74,32.35,37.22,25.17666667,36.35,37.88666667,34.77
WebServer,8.91,8.84,8.9,18.36,16.29,16.02,17.61,21.13,20.14,17.07,16.08,16.69,8.883333333,16.89,19.62666667,16.61333333
simdjson,9.12,9.03,10.08,12.3,13.62,11.59,11.44,12.18,11.67,12.87,14.12,14.23,9.41,12.50333333,11.76333333,13.74
backward-cpp,10.79,13.61,11.06,13.92,14.8,14.19,13.41,14.27,16.64,15.54,15.18,16.02,11.82,14.30333333,14.77333333,15.58
TinyWebServer,3.2,2.78,2.77,6.01,5.52,5.53,5.25,5.44,5.67,7.21,6.4,6.75,2.916666667,5.686666667,5.453333333,6.786666667
MyTinySTL,23.72,21.97,24.87,25.55,28.88,27.8,28.97,29.32,25.32,27.42,24.55,27.71,23.52,27.41,27.87,26.56
yaml-cpp,144.77,129.61,153.99,190.51,184.5,196,173.81,167.89,180.48,173.34,167.74,170.58,142.79,190.3366667,174.06,170.5533333
spdlog-1.x,1.74,1.55,1.83,6,6.41,6.59,6.4,5.85,5.66,6.28,5.67,5.95,1.706666667,6.333333333,5.97,5.966666667
docopt.cpp,3.97,4.31,4.23,6.18,6.32,6.26,6.01,6.08,6.18,6.09,6.41,6.13,4.17,6.253333333,6.09,6.21
SimpleJSON,2.17,2.25,2,4.96,4.7,5.33,5.4,5.41,6.02,6.52,6.36,5.85,2.14,4.996666667,5.61,6.243333333
2048,8.47,8.18,8.33,16.76,19.06,17.33,15.87,16.35,15.09,18.93,17.54,15.06,8.326666667,17.71666667,15.77,17.17666667
tinyrendere,4.19,4.21,4.23,8.91,9.03,9.36,8.78,8.66,8.68,8.57,9.26,10.29,4.21,9.1,8.706666667,9.373333333
libutp,1.7,1.68,1.72,7.5,8.02,7.69,7.61,7.31,7.25,7.39,7.72,7.98,1.7,7.736666667,7.39,7.696666667
git-crypt,6.87,6.33,6.46,10.18,11.1,13.18,10.77,11.93,12.89,12.13,11.88,12.95,6.553333333,11.48666667,11.86333333,12.32
tinyxml2,1.47,1.32,1.34,5.18,4.99,6.12,5.83,5.18,5.76,6.62,5.78,5.5,1.376666667,5.43,5.59,5.966666667
libfacedetection,4.99,4.84,4.59,9.64,9.68,9.08,8.97,9.89,9.71,12.09,10.49,9.64,4.806666667,9.466666667,9.523333333,10.74
harfbuzz,54.45,52.53,49.6,82.5,80.2,79.9,99.26,102.35,88.71,99.02,90.73,88.58,52.19333333,80.86666667,96.77333333,92.77666667
nana,110.84,112.04,113.52,238.26,241.67,257.37,172.42,168.32,169.02,164.32,169.69,171.71,112.1333333,245.7666667,169.92,168.5733333
cxxopts,43.79,42.55,44.4,63.36,57.83,57.19,62.97,54.09,48.11,46.93,46.49,45.14,43.58,59.46,55.05666667,46.18666667
FasTC,60.86,48.41,47.02,94.59,111.38,117.13,95.95,85.83,91.26,141.9,138.27,108.34,52.09666667,107.7,91.01333333,129.5033333
json,901.1,899.58,903.31,1250.23,1238.95,1246.65,1132.57,1201.19,1181.2,1021.81,1034.2,1056.71,901.33,1245.276667,1171.653333,1037.573333
SQLiteCpp,22.84,22.21,20.75,29.81,30.37,30.84,36.68,44.46,33.37,34.22,36.04,35.94,21.93333333,30.34,38.17,35.4
rapidjson,278.72,271.7,273.5,352.28,331.88,339.4,307,317.13,307.15,327.53,328.68,320.61,274.64,341.1866667,310.4266667,325.6066667
